friendly_class,opponent_class,turn,noplay_num,win_noplay,no_play_CI,pick1_num,win_pick1,win_pick1_ci,pick5_num,win_pick5,win_pick5_ci,pick10_num,win_pick10,win_pick10_ci
PRIEST,WARRIOR,9,7675,53.012,0.700133009,39,15.573,11.37130036,516,18.092,2.18266127,422,26.504,2.044333017
PRIEST,WARRIOR,10,7540,53.068,0.645691587,18,7.541090909,16.06766809,230,17.584,2.493901478,298,24.556,3.043320869
PRIEST,WARRIOR,11,7503,53.152,0.6888197,11,16.848,18.78335414,106,18.316,4.287827915,178,20.928,4.382734674
PRIEST,WARRIOR,12,7509,53.496,0.654696029,5,6.504,32.93088022,78,20.88316667,6.378642424,129,16.688,6.211336758
MAGE,DRUID,3,18580,38.96,0.644193233,9,-24.67428571,18.19070442,208,-0.676,3.484494089,69,-2.092,8.534050973
MAGE,DRUID,4,14485,35.888,0.638462193,80,13.15745455,7.61908605,4495,9.684,0.923188256,1981,8.152,1.635989855
MAGE,DRUID,5,15096,38.07692308,2.957294494,166,-4.660923077,5.573641896,1151,2.375076923,2.193043314,696,1.055076923,3.025997874
MAGE,DRUID,6,15134,35.288,0.503588402,136,-1.76,7.066536684,1122,3.688,1.980505839,1144,9.954307692,3.190105179
MAGE,DRUID,7,14498,34.416,0.538286114,204,-11.94,4.075294638,955,2.18,2.670830236,1636,8.068,1.650054833
MAGE,DRUID,8,14088,34.4,0.521914415,196,-5.876,2.721762205,607,1.076,2.048697304,1661,6.876,1.634690742
MAGE,DRUID,9,13030,34.708,0.576204848,74,9.678363636,7.157314194,835,-5.62,2.05238024,1889,6.584,1.43378593
MAGE,DRUID,10,11996,35.516,0.623237929,58,-12.63872727,7.39538787,650,-6.504,2.199152286,1710,5.656,1.466239144
MAGE,DRUID,11,11431,35.732,0.50914164,54,14.0555,8.679995224,436,0.364,2.853326539,1184,8.04,2.014484691
MAGE,DRUID,12,11222,36.572,0.54914257,48,-1.572,10.63097723,290,-4.768,2.693843339,779,7.772,2.244055283
MAGE,HUNTER,3,5745,53.08,0.713363131,10,-19.75142857,22.68779533,112,0.536,6.286291015,10,-30.85777778,18.2309648
MAGE,HUNTER,4,4491,50.84,0.871232067,34,-9.175,11.61210589,1815,7.66,1.151249774,207,8.02,5.003842798
MAGE,HUNTER,5,4571,49.68,0.887092633,121,3.028333333,7.076719157,517,4.068,2.88913397,135,17,5.670017763
MAGE,HUNTER,6,4526,48.692,0.960264442,102,-18.072,6.166891929,507,4.148,2.654611263,197,21.056,4.223764655
